fid,CMAUID,CMAPUID,CMANAME,CMATYPE,PRUID,PRNAME,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"28","220","12220",New Glasgow,D,"12",Nova Scotia / Nouvelle-Écosse,1182.42590279974,778.223972690547,1029.60099775305,820.197579320937,842.677970189869,1038.53228020824,1154.01915904133,608.530254208963,1168.83139906076,934.084245423801,926.807351850224,1010.62111208872,132.721853721513,1018.64767640024,674.640917659635,911.601447859777,1133.44367701856,145.113034388159,211979.622495682
"29","225","12225",Cape Breton,D,"12",Nova Scotia / Nouvelle-Écosse,3260.60708682191,2145.99713473518,2839.18366623996,2261.74175968297,2323.732723955,2863.8121900592,3182.2738660662,1678.0569961439,3223.11946692993,2575.79075487282,2555.72430457938,2786.84554432871,365.988106104057,2808.9792568427,1860.36093424777,2513.79315338707,3125.53579563446,400.1574960997,259600.477412169
"30","305","13305",Moncton,B,"13",New Brunswick / Nouveau-Brunswick,4430.18109831192,3878.74012272295,4533.04736887734,3564.37348184229,3472.00261953937,4464.98672744629,5035.58212779008,2829.55480365608,5228.78118432199,4874.25254803107,4180.31070297867,4156.88738475944,526.850678423882,4555.61701497334,2936.73382113995,3687.69283144773,4937.2439817023,638.181786781882,262511.940209594
"31","310","13310",Saint John,B,"13",New Brunswick / Nouveau-Brunswick,3950.24169067248,3458.54054153385,4041.96403900589,3178.23050922346,3095.86655398224,3981.27668669069,4490.05718224063,2523.0177047152,4662.32620330916,4346.20508740015,3727.44076343469,3706.55498931301,469.774816746397,4062.08862755379,2618.58558624174,3288.19017559637,4402.37240400387,569.044976679855,379342.336149932
"32","320","13320",Fredericton,K,"13",New Brunswick / Nouveau-Brunswick,3132.32345608998,2742.43160540448,3205.05421121993,2520.16123391773,2454.8511667718,3156.93249329844,3560.36732336362,2000.6136738882,3696.96714064512,3446.30055548804,2955.65462732306,2939.0933629785,372.505480230403,3221.0118998352,2076.39372396457,2607.35317347549,3490.83813632843,451.221233479702,588174.354710128
"33","328","13328",Bathurst,D,"13",New Brunswick / Nouveau-Brunswick,915.827594639243,801.831156841415,937.092586522622,736.843826567968,717.748493560153,923.0227760371,1040.97890640248,584.938699744711,1080.91791127229,1007.62810543752,864.173227033655,859.331050354776,108.913017083941,941.758289900705,607.095243071595,762.336974701527,1020.64998697756,131.927900451,211816.900744193
"34","329","13329",Miramichi,D,"13",New Brunswick / Nouveau-Brunswick,807.540085895135,707.022593658766,826.290704215339,649.719368637829,632.881868566393,813.884508166993,917.893498583302,515.775513256669,953.110112819035,888.486099064038,761.993333406063,757.723696616218,96.0351354925407,830.404734357734,535.312265785005,672.198205166838,899.968272512292,116.328737659249,770496.878375501
"35","010","10010",Grand Falls-Windsor,D,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,450.864035972303,301.220871140547,405.840495694192,324.188917484604,325.575341816693,452.240714903164,437.40165820867,226.311174799479,464.704888449887,401.056911571512,296.442738385402,383.181865065482,68.83710464656,439.035605402634,284.41801251379,345.480745248951,484.272745592611,57.9179093008497,5764.19956794255
"36","330","13330",Campbellton (New Brunswick part / partie du Nouveau-Brunswick),D,"13",New Brunswick / Nouveau-Brunswick,400.336318166822,350.504980599788,409.631897671668,322.097025387012,313.749869955573,403.481552350754,455.04379265884,255.694637707109,472.502355512705,440.465135668129,377.756610557689,375.639946200547,47.6092186594049,411.671419532844,265.37994245689,333.240862233652,446.157399016926,57.6697297284434,122527.447933391
"37","335","13335",Edmundston,D,"13",New Brunswick / Nouveau-Brunswick,689.983436172609,604.098649738304,706.004448375954,555.137272277587,540.750871592158,695.404277281169,784.272280293153,440.692131547158,814.362285311011,759.145835761537,651.067089983226,647.419011439961,82.0549416178732,709.519592984752,457.384845379062,574.343781664743,768.956499085312,99.3943260889568,178588.493978551
"38","330","24330",Campbellton (partie du Québec / Quebec part),D,"24",Quebec / Québec,111.173066419514,88.1323495249662,96.2376808008412,83.1071388679256,82.7391809811579,110.670500323712,111.790747790561,73.6625159496043,126.71254958628,126.843594111856,90.5163845984398,117.135657444347,18.4691897870662,117.776820827402,75.1491685238016,89.1667571395246,113.733557238985,17.3622070450429,45635.3103738842
"39","403","24403",Matane,D,"24",Quebec / Québec,569.578871770128,451.533144373353,493.059618301799,425.787214996491,423.902037475942,567.004047406203,572.743471767219,377.399077993846,649.193130008991,649.864518683316,463.747398011255,600.127331349271,94.6241802333785,603.412237551356,385.015723691769,456.832778621765,582.697169318531,88.9527168158289,66872.415495118
"40","404","24404",Rimouski,D,"24",Quebec / Québec,1777.12003135922,1408.81032554256,1538.37540028595,1328.481492508,1322.59962435181,1769.086427046,1786.99377422085,1177.50762074771,2025.52126374605,2027.61603570329,1446.91952543995,1872.43304623808,295.233082817658,1882.68215041187,1201.2720072096,1425.34550013302,1818.04989979098,277.537778924028,91898.4921101791
"41","405","24405",Rivière-du-Loup,D,"24",Quebec / Québec,956.499967413472,758.264498858486,828.000356067487,715.029081229741,711.863281774723,952.176036692077,961.81431390395,633.77035863759,1090.19705365616,1091.32452370053,778.776026552401,1007.80032684365,158.903410596665,1013.3167044223,646.561073544654,767.164232499664,978.529665202193,149.379260558901,54911.8383470797
"42","406","24406",Baie-Comeau,D,"24",Quebec / Québec,874.607015146746,693.343933971646,757.109195424339,653.810215550895,650.915463393697,870.653287964136,879.466362272886,579.50864646181,996.857316885434,997.888255376088,712.099320092375,921.515175512948,145.29852830591,926.559256148384,591.204255628035,701.481696236981,894.750590878351,136.58981041107,76384.8228419038
"43","408","24408",Saguenay,B,"24",Quebec / Québec,5145.40503204426,4079.01526618083,4454.15300006547,3846.43424909387,3829.40411649286,5122.144842957,5173.99308544014,3409.31030024348,5864.61641251423,5870.68153947596,4189.35517464942,5421.37066768839,854.806519741311,5451.04553431024,3478.11679946706,4126.89057827298,5263.91180639092,803.57221742805,307879.784459812
"44","411","24411",Dolbeau-Mistassini,D,"24",Quebec / Québec,499.254266501722,395.783376576042,432.182671481539,373.21623788532,371.563818977463,496.997350452093,502.028141364609,330.802474330278,569.038734136964,569.627228766469,406.48956340133,526.030977781223,82.9411484260393,528.910304083536,337.478710005124,400.428676520724,510.752878250031,77.9699275691259,80392.1995368919
"45","412","24412",Sept-Îles,D,"24",Quebec / Québec,924.537502346318,732.926282447437,800.331843140729,691.135623473453,688.075611665238,920.35806114815,929.674265673388,612.592247382371,1053.76695816201,1054.85675299874,752.752397177287,974.123604569125,153.593483832071,979.455647921753,624.955547579035,741.528621628168,945.831055286327,144.387593464992,186086.935510552
"46","421","24421",Québec,B,"24",Quebec / Québec,26191.407750821,20763.215220146,22672.7607910379,19579.3192589522,19492.6315917605,26073.0075229462,26336.9281408509,17354.2482465989,29852.374848233,29883.2478729595,21324.8731545025,27596.1423768363,4351.18051361397,27747.1948909672,17704.4906494966,21006.9126048528,26794.6370802498,4090.38500971357,347539.049918161
"47","423","24423",Sainte-Marie,D,"24",Quebec / Québec,463.338674844694,367.311322687543,401.092107090575,346.367630004803,344.834082921734,461.244117367722,465.913000239088,307.005046990453,528.102953668669,528.649111907042,377.247322653748,488.189109161453,76.9744883514268,490.861301407145,313.201004639726,371.622446979163,474.010092598299,72.3608897071899,10940.8260182194
"48","430","24430",Thetford Mines,D,"24",Quebec / Québec,923.143734819844,731.821376117685,799.125319643107,690.0937167517,687.038317970892,918.970595285324,928.272754056765,611.668746492497,1052.17837444653,1053.26652592653,751.617600729584,972.655085661575,153.36193713598,977.979090840844,624.013409394189,740.41074605504,944.405188382257,144.169925058031,52811.6948412639
"49","433","24433",Sherbrooke,B,"24",Quebec / Québec,6808.38449532276,5397.34075627861,5893.72188250118,5089.5902560428,5067.05603350982,6777.60668057193,6846.21211980749,4511.18915663754,7760.04283735657,7768.06819430178,5543.34219462563,7173.54140219553,1131.07742131683,7212.80708862709,4602.23370751905,5460.68922456645,6965.19229700295,1063.28434571356,150636.485141945
"50","410","24410",Alma,D,"24",Quebec / Québec,1089.41779864869,863.634991602477,943.061532832508,814.391463230466,810.78573461534,1084.49300354018,1095.47064381345,721.840807519438,1241.69379432828,1242.97794168867,886.996857595957,1147.84699425884,180.985059449406,1154.12994468401,736.408956736152,873.771456365313,1114.50880394993,170.137407926375,38263.1634545872
"51","485","24485",Rouyn-Noranda,D,"24",Quebec / Québec,1353.79830753923,1073.22240732931,1171.92422911277,1012.02844076543,1007.54766815487,1347.67835527433,1361.32006404958,897.017524635966,1543.02871800946,1544.62449032834,1102.25374436265,1426.40712507495,224.906611262704,1434.21482756427,915.12108108125,1085.81880005086,1384.97841398499,211.426445905064,648332.773198465
"52","428","24428",Saint-Georges,D,"24",Quebec / Québec,1028.30713255211,815.189566344587,890.160690637262,768.708342745214,765.304876637527,1023.65859247032,1034.02044225348,681.34929660996,1172.04123809401,1173.25335048356,837.240951817847,1083.45875669839,170.832740321966,1089.38926376056,695.10024708128,824.757427423065,1051.99066399083,160.593585395802,20223.6641137063
"53","437","24437",Cowansville,D,"24",Quebec / Québec,423.298593902975,335.569583420802,366.431153043457,316.435770745455,315.03474756053,421.3850397645,425.650455482362,280.474762297425,482.466173213885,482.965134626211,344.646950079732,446.001541751975,70.3226267359914,448.442812745292,286.135287468773,339.508156023257,433.047825294816,66.1077188874988,4839.20271517161
"54","440","24440",Victoriaville,D,"24",Quebec / Québec,1556.91499420872,1234.2429780856,1347.75349104888,1163.86778498773,1158.71474576064,1549.87684493515,1565.56527008205,1031.60126269165,1774.53653647251,1776.37174530604,1267.63002167131,1640.41766295039,258.650403525668,1649.39678647705,1052.42097873444,1248.72926041042,1592.77319542776,243.14774550573,15557.6300079897
"55","480","24480",Val-d'Or,D,"24",Quebec / Québec,1094.42791719017,867.606759965649,947.398575196512,818.136765116751,814.51445499916,1089.48047441061,1100.50859837668,725.160478373894,1247.40421450389,1248.69427066009,891.076063386364,1153.12582301648,181.817391151714,1159.43766788849,739.795624269699,877.78983934763,1119.63431584315,170.919852451853,398165.27660463
"56","502","24502",Hawkesbury (partie du Québec / Quebec part),D,"24",Quebec / Québec,53.8752178756404,42.7095309637953,46.6374290763633,40.2742799099651,40.0959650760051,53.6316707481164,54.1745503704296,35.6973520872998,61.4057559918147,61.4692613566294,43.8648505822057,56.764729526476,8.95029395537858,57.0754417940043,36.4177938384819,43.21081175789,55.1160487377783,8.41384260015911,440.056277396285
"57","505","24505",Ottawa - Gatineau (partie du Québec / Quebec part),B,"24",Quebec / Québec,11198.3940788727,8877.5169507592,9693.96194927335,8371.33058403242,8334.266419942,11147.7708949491,11260.6127522329,7419.97958448082,12763.6765802278,12776.8766408035,9117.65932765635,11799.0021835231,1860.39003850411,11863.5861736029,7569.72916964507,8981.71216663723,11456.3107123152,1748.88435383878,340901.576697793
"58","501","35501",Cornwall,D,"35",Ontario,1993.84377054241,1604.94277698336,1829.07976809556,1642.63330853533,1561.95840478957,1887.95394446373,2083.86577397851,1222.55212617103,2115.17847737101,1914.41408801921,1683.35472779543,1966.24905837767,296.995262065924,2027.46889965798,1279.79887933799,1726.97904762813,2060.22051457399,285.160789160256,51025.3713388235
"59","502","35502",Hawkesbury (Ontario part / partie de l'Ontario),D,"35",Ontario,378.616286493372,304.76684371382,347.328812567168,311.923999086022,296.604428011691,358.508586323005,395.710803815164,232.153668286453,401.65685605153,363.533173317555,319.656698122155,373.376253264025,56.3972187453182,385.001451123971,243.024405745789,327.940635004314,391.220743395854,54.1499394060811,1344.93155736624
"60","505","35505",Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,"35",Ontario,34199.7381991864,27529.04894239,31373.5961339645,28175.5420742122,26791.7523018069,32383.4452265377,35743.8556212911,20970.0294875853,36280.9519704715,32837.3072689033,28874.0230402271,33726.4152872983,5094.26082503345,34776.4987970866,21951.9639701354,29622.2964746336,35338.2763715483,4891.26804826636,375994.701488189
"61","509","35509",Carleton Place,D,"35",Ontario,1010.21820410823,813.174247066956,926.737442276055,832.270859033568,791.395411935642,956.567142062355,1055.82953261261,619.428879300422,1071.69469835212,969.973669856401,852.903127670172,996.236826987271,150.478199057869,1027.25500208856,648.434016269814,875.006204486039,1043.84921986868,144.482042317246,79312.2148854507
