fid,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,date,validOn,validTo,Shape_Leng,Shape_Area,Area,F_25_to_29sum,M_0_to_1sum,M_15_to_19sum,F_5_to_9sum,F_10_to_14sum,F_20_to_24sum,F_1_to_4sum,F_35_to_39sum,F_15_to_19sum,M_1_to_4sum,M_35_to_39sum,M_5_to_9sum,F_30_to_34sum,M_25_to_29sum,M_20_to_24sum,F_0_to_1sum,M_10_to_14sum,M_30_to_34sum
"472",Colombia,CO,Santander,CO68,GÃ¼epsa,CO68327,Guepsa,,,2009/01/01,2014/10/29,,0.354680107545,0.00269473238394,3299.08031150321,196.888316311873,40.906094108941,227.873858286068,198.554973534308,216.993322244845,216.434166577645,151.520055818371,185.235506204888,223.672461730428,160.259002536535,169.209956154227,209.216514741071,181.420726381242,186.763586859219,211.799579041079,38.5764918157365,227.448059415445,167.89235028252
"473",Colombia,CO,BoyacÃ¡,CO15,Chitaraque,CO15185,Chitaraque,,,2009/01/01,2014/10/29,,0.546440121608,0.012717969196,15571.642400711,257.555690128123,66.3166294458788,343.279856360285,323.364834862528,336.196421169676,288.409329012735,245.723500214284,244.076990278438,319.835871003335,259.810611992842,231.452011736808,339.487204361707,244.327803828055,261.042948252754,292.014875384048,62.5603707697592,353.959058481734,237.256540512433
"474",Colombia,CO,Antioquia,CO05,Salgar,CO05642,Salgar,,,2009/01/01,2014/10/29,,0.879779172693,0.0236340152665,28937.5848752982,777.996960126795,163.975177765649,877.602282739012,790.515744499629,849.341924107634,848.957881525625,612.80880101677,757.615621137084,878.429141646018,642.410354513442,668.850540083018,823.987663502805,698.312992946361,709.484055473469,802.96058088704,156.019030595024,883.483038799372,619.533827600884
"475",Colombia,CO,ChocÃ³,CO27,Alto BaudÃ³,CO27025,Alto Baudo,,,2009/01/01,2014/10/29,,3.45440336713,0.144014758489,176416.955071173,935.826178404095,351.406670218596,1463.51018861518,1376.66967500758,1427.13317072007,1152.6017655594,1328.44456167996,732.874640293419,1376.59926841769,1376.7161398204,643.699799522059,1455.50032125029,775.567731022951,862.931329133688,1116.35979711683,338.217478445556,1487.72440936742,686.383091843745
"476",Colombia,CO,Antioquia,CO05,La Ceja,CO05376,La Ceja,,,2009/01/01,2014/10/29,,0.63236180554,0.0111917353245,13702.6892238677,1999.1503941142,421.207929438213,2254.71468925755,2030.91925921896,2182.09876675438,2181.36911206506,1574.12601193995,1946.94570268644,2256.92188501032,1650.17863775278,1718.83736367035,2116.89291360974,1794.45395135973,1823.08987641055,2063.15598174371,400.76711374952,2269.80986516085,1592.01682148897
"477",Colombia,CO,BoyacÃ¡,CO15,Socha,CO15757,Socha,,,2009/01/01,2014/10/29,,0.5788242619,0.0125429538179,15357.9784686155,291.563077167375,75.2641472425312,389.280676079914,367.011292393785,381.368665486574,326.569482110441,278.877772414126,276.331003226573,362.47328635864,294.864565866301,262.163492909865,385.294916011393,276.693159413291,295.760519993259,330.79540443304,71.0013362438767,401.537655989639,268.8468073369
"478",Colombia,CO,Antioquia,CO05,Puerto Triunfo,CO05591,Puerto Triunfo,,,2009/01/01,2014/10/29,,0.994684477307,0.0306498316604,37528.9791240458,698.539740193402,148.292914290621,792.711151555181,715.348848800641,767.55374052003,762.889928951859,554.002720147604,679.684338671155,791.295457697706,580.97149308282,601.518835696392,745.852723945398,628.222914040321,639.42921401537,723.314543517074,141.047203466354,798.796265543671,559.235151101602
"479",Colombia,CO,BoyacÃ¡,CO15,San JosÃ© de Pare,CO15664,San Jose de Pare,,,2009/01/01,2014/10/29,,0.374186886775,0.00618873945809,7577.22024699322,229.819520676974,59.0915865844581,306.017724666744,288.127265702002,299.650538413785,257.316109874751,218.952072409447,217.780848570634,285.215316427872,231.504848467186,206.46114506945,302.499247433618,217.970517198555,232.822262669913,260.470406226348,55.7444560030708,315.473702330142,211.59155371692
"480",Colombia,CO,Antioquia,CO05,La UniÃ³n,CO05400,La Union,,,2009/01/01,2014/10/29,,0.662198753491,0.0136810845414,16752.1207640584,756.934923777822,159.481244229479,853.69879983901,768.963515269104,826.204355912982,825.9280883295,596.0086629258,737.168750048382,854.534506387776,624.804339818424,650.800476715202,801.515574184479,679.431056542555,690.273428467568,781.169250987004,151.741772783687,859.414260959718,602.782629916212
"481",Colombia,CO,Santander,CO68,La Belleza,CO68377,La Belleza,,,2009/01/01,2014/10/29,,1.17404191807,0.0266629062121,32649.7546909332,364.121849757736,75.6626073706138,421.466853460181,367.261692772503,401.351045275573,400.274387905141,280.261553082848,342.572940378799,413.680628065835,296.425612168969,312.943107936881,386.980930773425,335.522693405277,345.412484660046,391.712007617461,71.3536400559533,420.689551981515,310.51315983152
"482",Colombia,CO,ChocÃ³,CO27,El Carmen de Atrato,CO27245,El Carmen de Atrato,,,2009/01/01,2014/10/29,,1.25692460711,0.0697477872107,85424.8119947065,507.432392998715,189.388366718835,790.503367857076,743.281735664001,770.796534216264,623.990205863141,715.892905443092,398.722515133792,744.036088828347,741.972316926462,350.237503585464,785.737164627761,421.017958806129,467.835390419816,604.195798274828,182.26390489703,803.504654427059,372.617669802683
