fid,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,date,validOn,validTo,Shape_Leng,Shape_Area,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"650",Colombia,CO,Caldas,CO17,San Jose,CO17665,San Jose,,,2009/01/01,2014/10/29,,0.460676304847,0.00502868333282,269.494846032001,229.081108758226,279.526428596117,273.18982290756,262.183833449148,252.547489012592,258.946971375495,163.597562590614,271.011380582117,251.68202811107,276.559422104619,256.572304242291,42.4196992459474,271.171653435566,171.303162457887,244.002516246401,284.155717485584,40.4078823422315,6166.26060970397
"651",Colombia,CO,BoyacÃ¡,CO15,Tenza,CO15798,Tenza,,,2009/01/01,2014/10/29,,0.32189027862,0.00379849657249,159.952711860184,164.818482607603,182.330577941611,182.110720216297,172.963401811197,146.630695677362,162.022546613589,121.458120219875,165.193081083242,160.508594913408,169.774583229795,162.400320703629,31.8007563239662,160.095519904979,128.420759115368,173.029336767271,154.554714642931,29.9996229035314,4657.78534342352
"652",Colombia,CO,Cundinamarca,CO25,Supata,CO25777,Supata,,,2009/01/01,2014/10/29,,0.464628101991,0.0104747451078,164.041626938153,165.983079776634,173.166113924701,181.399382263422,172.847456108313,162.186406447552,169.888267375994,118.329170681769,174.69841305539,166.274323352613,167.555213066284,164.630066815764,30.6966017293744,168.220860121772,123.961863043718,173.672954827547,170.835923407227,29.2267869500793,12844.5098512986
"653",Colombia,CO,BoyacÃ¡,CO15,Campohermoso,CO15135,Campohermoso,,,2009/01/01,2014/10/29,,0.896844000248,0.0245182088168,144.396492971398,148.789042791119,164.597997222445,164.399521817686,156.141826974635,132.370110908116,146.265025727451,109.645697239728,149.127209660655,144.898313722515,153.263137177506,146.606059442158,28.7079702014162,144.52541219705,115.931183838693,156.201349355688,139.523478547228,27.082006234341,30067.4968543378
"654",Colombia,CO,Cundinamarca,CO25,Nocaima,CO25491,Nocaima,,,2009/01/01,2014/10/29,,0.399540800422,0.00552934938003,234.330955134705,237.104290691204,247.365145331249,259.126242914237,246.909947294742,231.680801367387,242.682791417465,169.031410583761,249.554011034779,237.520327766426,239.350059114397,235.171532453969,43.8496260909596,240.300925779156,177.077625338454,248.089159592055,244.036503586918,41.7500181135256,6780.22871298511
"655",Colombia,CO,Cundinamarca,CO25,SesquilÃ©,CO25736,Sesquile,,,2009/01/01,2014/10/29,,0.623031593833,0.0114588706158,3061.42182126152,3097.65412549395,3231.70728202863,3385.36039467249,3225.76033892948,3026.79883119161,3170.53457184229,2208.31451303849,3260.30376744759,3103.08945095679,3126.99401754537,3072.40356532484,572.874386835902,3139.41663170536,2313.43445983657,3241.16618194035,3188.22017085622,545.444013355445,14052.3907669529
"656",Colombia,CO,Caldas,CO17,ChinchinÃ¡,CO17174,Chinchina,,,2009/01/01,2014/10/29,,0.759404664007,0.00882559460009,1759.42206578515,1495.57333052717,1824.88343986683,1783.52420951705,1711.66649015062,1648.75801358186,1690.54764622822,1068.05838515423,1769.31540394109,1643.11548287421,1805.51692297589,1675.06054193061,276.940614673076,1770.38218104001,1118.36726953276,1592.98332175612,1855.11224527191,263.805748898536,10823.4490449977
"657",Colombia,CO,Cundinamarca,CO25,Subachoque,CO25769,Subachoque,,,2009/01/01,2014/10/29,,0.6841005934,0.0170167191907,814.060535402503,823.695041483734,859.341022402048,900.19881493086,857.75967498403,804.853960061446,843.074629385024,587.211367502576,866.945094138384,825.140345511492,831.496791585814,816.980682611465,152.33262734965,834.800080275163,615.163738720585,861.856231716461,847.777395232115,145.038636026846,20869.3245215975
"658",Colombia,CO,Cundinamarca,CO25,Villeta,CO25875,Villeta,,,2009/01/01,2014/10/29,,0.64610517171,0.0117738391443,968.474757217336,979.936774755362,1022.34422578709,1070.9520857227,1020.46292330232,957.521841075737,1002.99235940585,698.595942731947,1031.39066712605,981.656229758635,989.218391138595,971.94880940672,181.227682583965,993.148260742426,731.850429751445,1025.33653172851,1008.58716491982,172.550138354243,14438.6086989802
"659",Colombia,CO,Cundinamarca,CO25,La Vega,CO25402,La Vega,,,2009/01/01,2014/10/29,,0.741436445647,0.0128214712907,629.918328088708,637.37348845182,664.956273212098,696.571947023273,663.732630185783,622.7942990968,652.369373027701,454.382919718046,670.840287679806,638.491861247923,643.410466098227,632.177931305487,117.874666320393,645.96654427005,476.012405614834,666.902537798509,656.00836375216,112.230591110419,15724.096281542
"660",Colombia,CO,Cundinamarca,CO25,Manta,CO25436,Manta,,,2009/01/01,2014/10/29,,0.456537374856,0.00861846830751,110.674613460433,112.007902145619,116.936969206668,122.426702570869,116.650564905256,109.332159377169,114.590556916781,79.8815408241935,117.823853411945,112.168172023958,113.095572625054,111.086394511163,20.7249379652785,113.46322569414,83.6933659412898,117.201680204598,115.163742178818,19.7303907354944,10569.5892081992
"661",Colombia,CO,Caldas,CO17,BelalcÃ¡zar,CO17088,Belalcazar,,,2009/01/01,2014/10/29,,0.59038960588,0.00910000284358,408.113977147266,346.91216371581,423.300734965131,413.706314660609,397.038580984809,382.446130052209,392.138835541904,247.746142356656,410.409411606379,381.136693291366,418.80819463823,388.545203663409,64.2389236880699,410.655268610455,259.415577768348,369.50775064528,430.312109786086,61.1922133896733,11159.8368995163
