fid,ADM0_EN,ADM0_FR,ADM0_RW,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_FR,ADM1_RW,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3ALT1EN,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"110",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Ruhango,RW26,Mwendo,RW2607,,1122.68827727437,1858.88711799681,1395.14458646625,1780.24282732606,1569.59868977964,758.296551845968,1058.01275068521,1225.34959159791,1065.42414423078,809.396381214261,1341.28791827708,902.28803910315,322.701518535614,1012.59186599404,1225.38065179437,1888.89099182189,881.978344917297,319.16993666999,5659.89441163669
"111",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Ruhango,RW26,Ntongwe,RW2608,,1570.81070351601,2207.57611528039,1698.91737091541,2080.64578709006,2047.48925229907,789.705559767783,1459.97229178995,1615.87372425199,1468.80152720958,944.098501488566,1690.16944885254,1130.62648165971,433.989025201648,1490.49903533608,1647.9678299129,2255.54235623777,1181.1157701686,420.890766758472,7378.24722594921
"112",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Ruhango,RW26,Ruhango,RW2609,,3023.69852641225,4675.10929080844,3361.86816573143,3972.53534476459,3935.76300275326,2348.16375551373,2869.91302162409,3352.35835911334,2792.00455270708,2662.81404889375,3210.09583686292,2584.25128267705,930.059072639793,2921.72040456533,3531.67330794036,4604.26852199435,2334.72450052947,873.197291631252,9522.00355664072
"113",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Cyeza,RW2701,,1614.30666908622,2067.69425840676,1482.34353512526,1692.54232558608,1681.02778039873,1119.63601976633,1413.4774698168,1494.34097087383,1328.27290940285,1259.15665379167,1477.65009313822,1323.09420517087,401.244635134935,1478.55584931374,1523.629044801,2143.97167612612,1018.41517298669,389.23479019478,5745.0265427076
"114",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Kabacuzi,RW2702,,1472.22912847996,1800.97127532214,1377.32269656658,1620.89513368905,1568.95198093355,733.133493624628,1163.59915559739,1283.7682852,1069.53444775939,878.591071344912,1355.66055336595,1053.9181984514,343.876059889793,1284.23462500423,1305.78576555103,1902.19650876522,879.769571136683,334.386393629014,7633.18699786297
"115",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Kibangu,RW2703,,1089.22421227396,1454.27800068259,990.52461399883,1200.66647061706,1212.45911681652,602.221310585737,928.482166603208,1072.12321577966,791.362071052194,654.852107338607,1040.30807548761,877.628643505275,285.991905100644,888.373741798103,1085.98473621905,1460.59015327692,605.541512858123,279.258662920445,4812.02706229024
"116",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Kiyumba,RW2704,,1137.97803107649,1524.646982342,1195.918266505,1323.03049818426,1277.39909905195,715.493785511702,1015.55071947724,1007.33553189784,948.014623567462,835.166742675006,1209.89162299037,886.040526181459,267.430264806375,1025.19024238735,1015.50142835826,1515.92691586912,748.97682095319,262.383252350613,5980.04316715281
"117",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Muhanga,RW2705,,1288.53393628448,1827.90452069044,1195.53471108526,1515.7385417819,1428.08874313533,849.834433831275,1172.21351975948,1358.5183358863,1063.94457680732,1054.37461999804,1244.5257678628,1130.20951939374,359.395867902786,1256.9136204794,1364.71850789338,1778.29502484202,762.002090096474,353.856729339808,6257.48796920891
"118",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Mushishiro,RW2706,,1066.06628318876,1398.17650669813,1052.31951785088,1322.29300734401,1263.13999919593,585.929262064397,825.507876046002,997.4435326159,870.259484395385,625.925770319998,991.235573120415,704.325006395578,259.362988704816,1037.80239506066,984.867935210466,1417.25044302642,638.710772305727,259.806664502248,5345.08704505177
"119",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Nyabinoni,RW2707,,921.628209702671,1225.53349557519,837.262654922903,969.433198943734,1062.61034363508,467.399314790964,805.457273520529,907.48716416955,620.484497860074,473.813094522804,896.186270236969,553.543607734144,227.808797167614,725.102956704795,865.048555977643,1242.50771316886,503.802869793028,236.375489667058,3957.20473803145
"120",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Nyamabuye,RW2708,,2265.43394258618,2698.26409363747,2293.16432316601,2069.62219491601,2151.95521722734,1896.7696878016,4112.10206016898,2106.73428657651,1988.39800903946,3193.28573566675,2262.20342891663,4245.28774107248,586.566623069346,2250.22141034156,2227.34422562271,2734.84511421621,1221.29314021766,548.746455255896,2992.66446335075
"121",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Nyarusange,RW2709,,1117.59862720221,1833.81669381261,1278.54275999218,1698.05153423548,1608.72380264103,746.052231006324,1045.34542191029,1207.70868941396,1045.84423835576,854.889798931777,1313.85812622309,869.333950124681,328.362125966698,1114.22472845018,1246.87533668429,1755.28964012861,926.444236956537,314.574940800667,6219.63368683627
"122",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Rongi,RW2710,,1467.34029695392,1873.15754768252,1497.20893314481,1788.52190847695,1680.73053596169,545.753103636205,1410.42708202451,1419.37179585546,958.171540051699,798.045356057584,1506.43103473634,1038.87034025043,361.971612052992,1155.39547798783,1374.49921291322,1896.37365779281,746.080551467836,369.70738636516,8257.18824145628
"123",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Rugendabari,RW2711,,892.216042533517,1277.40624408424,798.538216434419,1060.62500888854,1075.94843812287,483.355009306222,674.981442578137,899.619546718895,676.50684889406,542.142109449953,835.637401252985,613.608295679092,231.301590749994,839.367708280683,878.311599068344,1305.00427298248,521.715644583106,234.32619857043,4305.89513687969
"124",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Muhanga,RW27,Shyogwe,RW2712,,1446.81553295255,1945.68373899162,1434.34931862354,1600.6953664124,1531.06578959525,2930.29126405716,1683.58423015475,1433.39451138675,1231.29002337158,3192.24284933507,1394.76338675618,2557.5380409658,401.692337267101,1484.8623239696,1525.3290091604,2064.63562390208,957.22389511019,373.359922781587,3628.50649715943
"125",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Gacurabwenge,RW2801,,1521.2672727555,2014.38994222879,1559.29141294956,1726.215582937,1626.63839922845,779.341816402972,1296.66212511063,1290.38155956566,1287.60263035446,958.27270693332,1487.22881236672,1040.75940088928,359.762214101851,1360.37913240492,1366.10959985852,2071.32997061312,1028.89953955263,336.108979478478,5101.73643557442
"126",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Karama,RW2802,,1042.97651071846,1350.30169038475,1028.72957138717,1083.10704150796,1100.53506495059,495.108276315033,924.022445976734,910.395294234157,859.692228093743,581.697618052363,993.595740869641,737.899673298001,242.12944631651,928.27537843585,919.427782073617,1333.22929315269,637.667709350586,237.132985010743,3793.88559175172
"127",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Kayenzi,RW2803,,1097.20427530259,1382.29425084591,1131.04929709435,1203.93209323287,1264.70966482162,809.729054424912,1135.67961398512,960.08080945164,969.427647463977,939.598265081644,1147.16235157847,1003.32196903974,272.885002724826,1049.14400119334,1036.21446976066,1565.38498748839,809.83834374696,250.074694413692,5190.96164340417
"128",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Kayumbu,RW2804,,803.051008999348,1034.72871102393,789.847233846784,923.633819192648,914.290700167418,405.680684693158,671.259887285531,746.520477861166,706.040466591716,531.253610596061,762.492723852396,586.578387729824,201.467296227813,751.958167552948,765.023086555302,1072.22578857839,509.061963878572,194.44809496589,3352.77473209282
