fid,Shape_Leng,Shape_Area,ADM4_EN,ADM4_PCODE,ADM4_REF,ADM4ALT1EN,ADM4ALT2EN,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,F_25_to_29sum,F_15_to_19sum,M_15_to_19sum,F_1_to_4sum,M_0_to_1sum,F_0_to_1sum,M_30_to_34sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,F_20_to_24sum,M_5_to_9sum,M_1_to_4sum,F_30_to_34sum,M_20_to_24sum,F_5_to_9sum,F_35_to_39sum,M_25_to_29sum
"5083",0.069985709529,0.00016117113674,Ward No-43,"30260243",,,,Adabor,"302602",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,9157.46105098724,8353.66840648651,8954.5198059082,4741.39493083954,1226.6947748661,1181.43882393837,9593.46037387848,7025.0352640152,6607.82315731049,8399.7943649292,10447.5545253754,6215.86990451813,4919.81994390488,7013.71072769165,11026.8588600159,5877.86758804321,6155.61054420471,11283.9483356476
"5084",0.0327086643613,4.85130708556e-05,Ward No-44,"30265044",,,,Mohammadpur,"302650",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,3628.0366859436,3309.58714866638,3547.63467788696,1878.46333312988,485.996460437775,468.066790103912,3800.77250289917,2783.20437049866,2617.91174125671,3327.86151123047,4139.15065383911,2462.62624931335,1949.15239524841,2778.71778106689,4368.66161727905,2328.71524810791,2438.75245857239,4470.51625061035
"5085",0.0665077691251,0.000119956988467,Ward No-45,"30265045",,,,Mohammadpur,"302650",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,6945.15729141235,6335.548787117,6791.24352931976,3595.94580841064,930.34391450882,896.021119475365,7275.82577705383,5327.89323616028,5011.47327613831,6370.53138446808,7923.58374595642,4714.20996570587,3731.2660446167,5319.30457305908,8362.93696403503,4457.86388111115,4668.50835990906,8557.91746902466
"5086",0.0424408802701,4.14417016744e-05,Ward No-46,"30260246",,,,Adabor,"302602",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,2737.61679077148,2497.3235206604,2676.94762802124,1417.43680953979,366.719574451447,353.190339565277,2867.95849990845,2100.12954521179,1975.40427398682,2511.11283493042,3123.28936004639,1858.23010063171,1470.77685165405,2096.74408149719,3296.47200012207,1757.18453788757,1840.2156162262,3373.32872390747
"5087",0.09362317304,0.000276291655426,Ward No-46,"30265046",,,,Mohammadpur,"302650",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,6611.44033420086,6031.12370336056,6464.92218911648,3423.15947335958,885.640597835183,852.967025846243,6926.22011113167,5071.88631570339,4770.67040848732,6064.42537856102,7542.85306942463,4487.69072043896,3551.97755533457,5063.71032595634,7961.09526705742,4243.66214382648,4444.18508303165,8146.70688128471
"5088",0.0597644917743,0.000131899729477,Ward No-46 (Part),"30262846",,,,Hazaribagh,"302628",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,797.404669284821,727.412781238556,779.733145713806,412.866672992706,106.816958487034,102.876205384731,835.370205879211,611.719326734543,575.389733791351,731.429293394089,909.742195129395,541.259602308273,428.403395652771,610.733222484589,960.186316013336,511.827350854874,536.012391090393,982.572899341583
"5089",0.0496229867202,8.66805621846e-05,Ward No-47 (part),"30265047",,,,Mohammadpur,"302650",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,2410.8758430481,2199.26214361191,2357.44769191742,1248.26241970062,322.950737833977,311.036247611046,2525.66094684601,1849.47419404984,1739.63516235352,2211.40567779541,2750.51748561859,1636.44600200653,1295.23620080948,1846.49279594421,2903.03039169312,1547.46046829224,1620.58158588409,2970.7140789032
"5090",0.024744154176,3.05283152073e-05,Ward No-47 (Part),"30261647",,,,Dhanmondi,"302616",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,1386.6757183075,1264.96078205109,1355.9451751709,717.969444274902,185.753216743469,178.900299787521,1452.69724273682,1063.77146625519,1000.59479141235,1271.94543743134,1582.02913284302,941.242967605591,744.987586021423,1062.05664634705,1669.75074577332,890.060699462891,932.118139266968,1708.68070602417
"5091",0.0346313006833,3.48209880369e-05,Ward No-48 (Part),"30261648",,,,Dhanmondi,"302616",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,1501.51316833496,1369.71842575073,1468.23768997192,777.428031921387,201.136357307434,193.715916395187,1573.00228691101,1151.86762809753,1083.45899343491,1377.28151893616,1713.04476642609,1019.19194078445,806.683682918549,1150.01079177856,1808.03103733063,963.771019458771,1009.31144857407,1850.18500614166
"5092",0.0791790763267,0.00023665627198,Ward No-48 (Part),"30262848",,,,Hazaribagh,"302628",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,5169.68492221832,4715.91781616211,5055.11798477173,2676.6718275547,692.509139239788,666.96068418026,5415.82071971893,3965.86112546921,3730.33132410049,4741.95739746094,5897.9846906662,3509.060942173,2777.39855575562,3959.46807765961,6225.02088212967,3318.247620821,3475.0425760746,6370.15624094009
